Word,SS,Lw,Ec,Ci,At,Li,EE,ME,Sp,Me,mean,,,
development,0.682477891,0.529117465,0.515800536,0.508714914,0.560439646,0.448746592,0.651607454,0.622231245,0.527865231,0.535521507,0.558252248,,,
often,0.54304558,0.382356793,0.382387668,0.503700376,0.425904065,0.523393154,0.481472433,0.506857216,0.482802302,0.438849837,0.467076942,,,
would,0.422391921,0.386529088,0.316973954,0.354827523,0.390812695,0.433083922,0.35660097,0.406892568,0.336886019,0.428413957,0.383341262,,,
term,0.576399684,0.391169369,0.452476323,0.441500038,0.421838999,0.454055786,0.57217145,0.591905296,0.498012513,0.431588054,0.483111751,,,
different,0.649345458,0.459564686,0.403742939,0.352611184,0.413696706,0.483209312,0.523351133,0.501990497,0.436016262,0.473424107,0.469695228,,,
known,0.306524873,0.252491504,0.228813633,0.237494826,0.20388709,0.322018474,0.279593825,0.34813714,0.195472658,0.280332923,0.265476695,,,
list,0.583933294,0.567268431,0.540305436,0.541674912,0.515104413,0.544730425,0.58193177,0.549472451,0.365272284,0.532951117,0.532264453,,,
user,0.897281587,0.698324382,0.635034561,0.711265087,0.806474388,0.641095221,0.79166013,0.747979999,0.701547086,0.654497623,0.728516006,,,
class,0.487138242,0.405892789,0.293318838,0.193379298,0.333201677,0.290443897,0.369328767,0.442459911,0.226238146,0.370137483,0.341153905,,,
world,0.698805213,0.575402141,0.638979554,0.556407034,0.468103915,0.503663003,0.717448056,0.715209126,0.560347617,0.592395127,0.602676079,,,
operation,0.524318159,0.390024304,0.178250894,0.38766107,0.326576412,0.457207948,0.521491766,0.399840266,0.238484249,0.23463738,0.365849245,,,
reference,0.494735688,0.357758999,0.450509369,0.42428425,0.439411312,0.417944849,0.463755101,0.491553992,0.374688238,0.382366806,0.42970086,,,
structure,0.58520484,0.419241548,0.293460906,0.352913976,0.309261888,0.389956534,0.495087922,0.485563159,0.354253262,0.456891596,0.414183563,,,
